"created","screenName","text"
2015-06-09 12:14:27,"Hordalandpoliti","Florvåg: meldt om røykutvikling i en lift ved Framo."
2015-06-09 10:06:18,"Hordalandpoliti","Kårtveit: antallet som var i båten er rettet til 4 personer. Alle til rette og alle i god behold."
2015-06-09 09:43:35,"Hordalandpoliti","Kårtveit: meldt kontroll på alle 5 personene. Alle blir fraktet til kaien på Kårtveit, alle skal være i god behold."
2015-06-09 09:19:04,"Hordalandpoliti","Kårtveit: rettelse: snakk om en båt som tar inn vann, 5 personer i båten, ingen i vannet pr nå."
2015-06-09 09:13:22,"Hordalandpoliti","Kårtveit/ Ågotnes: melding om 5 personer i vannet. Redningsetater på veg, samt Sea-King og luftamb."
2015-06-09 08:34:35,"Hordalandpoliti","Grimesvingene: melding om geiter i veien. Kjør forsiktig!"
2015-06-09 01:16:56,"Hordalandpoliti","Johannes Bruns gate: Mann på taket freistar å sparka inn ei dør, Politiet på staden.Fekk snakka mannen ned. Kontroll."
2015-06-09 00:50:23,"Hordalandpoliti","Edvard Griegs vei: Mannen har tent på en pizzaeske i busskur for å varme seg. Ikke fare for spredning, Mannen formant og dimmetert på stedet"
2015-06-09 00:42:58,"Hordalandpoliti","Edvard Griegs vei; Person forsøker å tenne på søppelspann. Politiet på stedet - kontroll på vedkommende."
2015-06-08 22:55:01,"Hordalandpoliti","Kl.0020 - Blekketrappene: Vedkomande kom frivellig ned til patruljane. Verta meldt for forstyrring av ro og orden."
2015-06-08 22:53:01,"Hordalandpoliti","Kl.0020 - Bleketrappene: Melding om mann som går på taka. Vart konstatert at det IKKJE var Carlson på taket, men ein rusa mann på 23 år."
2015-06-08 20:33:12,"Hordalandpoliti","Gullfjellet: Sea King har fått hentet ned personen. Blir fraktet Haukeland sykehus. Lettere skadet."
2015-06-08 19:19:18,"Hordalandpoliti","2100: Politiet mottok melding om person som var skadet etter fall på Gullfjellet. Luftambulansen er sendt til stedet. Person bevisst."
2015-06-08 15:20:19,"Hordalandpoliti","Fantoft: Mann viftet med en kniv foran to kvinner i midten av 20 årene. Ba dem ringe politiet. Politiet rykket ut - kontroll på mannen."
2015-06-08 13:19:03,"Hordalandpoliti","Kl 1508. Kuventrævegen: Trafikkulykke mellom scooter og bil. Lettere personskade på fører av scooter. Politi og ambulanse på staden."
2015-06-08 12:00:18,"Hordalandpoliti","Rosendal: viser seg at damen har falt, ikke påkjørt. Damen er kjørt til lokal legevakt."
2015-06-08 11:37:01,"Hordalandpoliti","Rosendal: melding om eldre dame som har blitt påkjørt av bossbil. Nødetater på vei til stedet. Ukjent skadeomfang."
2015-06-08 09:17:34,"Hordalandpoliti","Kolltveittunnelen vest, i rundkjøring: meldt om en stein som ligger i veibanen, kan komme brått på. Entreprenør på vei"
2015-06-08 07:56:21,"Hordalandpoliti","Olsviktunnelen: viser seg at fører ikke har førerkort til trekke hengeren. Sak opprettes. Politiet avslutter på stedet."
2015-06-08 07:33:48,"Hordalandpoliti","Olsviktunnelen: bil som har mistet tilhenger. Politiet på stedet. Ingen trafikale problemer."
2015-06-08 05:08:00,"Hordalandpoliti","Hesthaugveien: brannvesen på stedet, finner ingen bil i brann."
2015-06-08 05:03:52,"Hordalandpoliti","Hesthaugveien v/ Åsane terminal: meldt om bilbrann. Politi og brannvesen på vei til stedet."
2015-06-08 03:43:38,"Hordalandpoliti","Det har vore ei roleg natt for politiet i Hordaland. Me skulle gjerne hatt fleire slike; utan slagsmål, spetakkel eller alvorlege hendingar."
2015-06-07 17:43:24,"Hordalandpoliti","Fjell: En person involvert i ulykken, kjøres legevakt for sjekk, glatt på stedet, vts er varslet, inntauing av bilen er rekvirert"
2015-06-07 17:18:22,"Hordalandpoliti","Fjell: Trafikkulykke, en bil kjørt i fjellveggen, redningsetatene rykker ut"
2015-06-07 10:46:56,"Hordalandpoliti","Odda-Gryteskaret. Røde Kors kalt ut for å lokalisere/hente ned turgåer."
2015-06-07 10:45:01,"Hordalandpoliti","Hjelteryggen-brann. Mannen som er pågrepet er innsatt i varetekt."
2015-06-07 10:24:05,"Hordalandpoliti","Hordviktunellen: bilberging utført, men nordgående felt er fremdeles stengt pga teknisk feil. Entreprenør på veg til stedet."
2015-06-07 10:08:09,"Hordalandpoliti","Hordviktunellen stengt grunnet bil som står i løpet. Bergingsbil på veg. Førar til køar"
2015-06-07 10:04:28,"Hordalandpoliti","Hjelteryggen. Politiet har pågrepet en person mistenkt for å tenne på brannen i garasjeanlegget"
2015-06-07 09:35:55,"Hordalandpoliti","Hjleteryggen. Politi og brannvesen rykker ut til brann i garasjeanlegg"
2015-06-12 07:57:49,"oslopolitiops","Det nærmer seg avslutning på berging og rydding av åstedet, men det tar fortsatt litt tid før vi kan åpne veibanen."
2015-06-12 06:12:41,"oslopolitiops","Vi jobber med berging av lastebilen, men dette vil ta en del tid. Inntil videre må trafikanter følge anvisninger om omkjøringsveier."
2015-06-12 05:20:40,"oslopolitiops","fører av lastebil satt fastklemt, var bevisst, er frigjort, kjørt sykehus av amb"
2015-06-12 04:49:45,"oslopolitiops","Nye målinger på stedet gir utslag på metan. Brannvesenet vurderer nødvendige tiltak fortløpende."
2015-06-12 04:40:25,"oslopolitiops","Lastebilen skal ha fraktet metangass. Det er ikke meldt om noen lekkasje og målinger på stedet gir ingen utslag. Mosseveien er stengt."
2015-06-12 04:36:50,"oslopolitiops","Trafikkregulering pågår. En person meldes fastklemt i lastebilen. Ukjent skadeomfang."
2015-06-12 04:26:38,"oslopolitiops","E18 inng v/Fiskvollen: Trafikkulykke. Nødetater på vei. Meldingen inn til oss forteller om en lastebil som skal ha kjørt i fjellveggen."
2015-06-12 04:21:07,"oslopolitiops","Borggata: Kontroll på en mann som har knust ruter på minst 7 biler. Vi tok i bruk pepperspray da mannen truet oss med en hammer."
2015-06-12 03:21:42,"oslopolitiops","Kjølberggata: En 2 meter høy isbjørn statue/Coca Cola reklame, stjålet fra bensinstasjon. Tips oss på 02800"
2015-06-12 00:11:35,"oslopolitiops","Vi har fått melding om slagsmål i Trondheimsveien. Vi er i området."
2015-06-11 23:00:26,"oslopolitiops","Maridalsveien: Vi er på stedet grunnet en ordensforstyrrelse. Mistenkte skal ha forlatt stedet og vi gjør noen søk i området."
2015-06-11 22:20:22,"oslopolitiops","Vi har mottatt flere støymeldinger fra området Ekeberg. Vi har lokalisert festen og den vil bli avsluttet nå."
2015-06-11 21:19:18,"oslopolitiops","Kvinnen er kommet til rette og er i god behold."
2015-06-11 21:04:53,"oslopolitiops","Vi savner en eldre dame. Sist sett på Linderud senter for ca min siden. Grå jakke, mørke bukser og trillebag. Slank og litt krum. Ring 02800"
2015-06-11 20:06:51,"oslopolitiops","Da er veien klar igjen."
2015-06-11 19:49:15,"oslopolitiops","Kjøretøystans ved utgangen av Svartdalstunnelen, retning Ryen."
2015-06-11 18:57:03,"oslopolitiops","Brannen slukket. Noen personer ivaretas etter å ha fått i seg noe pulver fra et brannslukningsapparat."
2015-06-11 18:45:39,"oslopolitiops","Brann i hekk og veranda i Rødtvetveien. Nødetater på vei."
2015-06-11 17:22:12,"oslopolitiops","Noen trafikale problemer i forbindelse med bilbrannen."
2015-06-11 17:10:12,"oslopolitiops","Nødetater på vei til bilbrann på E18 inngående, ved Lysaker."
2015-06-11 14:36:47,"oslopolitiops","Brannen er slukket. Opprettes sak."
2015-06-11 14:14:15,"oslopolitiops","Vi er på vei til Hallagerbakken skole hvor det brenner i en container."
2015-06-11 14:08:01,"oslopolitiops","Ferdig i Granfosstunnelen."
2015-06-11 14:07:00,"oslopolitiops","Den skadde er kjørt til legevakt. Politiet oppretter sak."
2015-06-11 13:37:38,"oslopolitiops","Vi har fått kontroll på hest og kjerre. Er en skadet person på stedet. Ambulanse underveis."
2015-06-11 13:35:18,"oslopolitiops","Vi står i Granfosstunnelen, østgående, i forbindelse med en kjøretøystans."
2015-06-11 13:30:52,"oslopolitiops","Vi er på Sognsvann for å få kontroll på en hest som løper løpsk."
2015-06-11 12:57:40,"oslopolitiops","tørrkok i en leilighet, ingen tilstede, vi åpner sak"
